Time (s),Voltage (V)
-1.3959874999999912e-05,0.0
-1.3959749999999912e-05,0.0
-1.3959624999999911e-05,0.0
-1.3959499999999911e-05,0.0
-1.395937499999991e-05,0.0
-1.395924999999991e-05,0.0
-1.395912499999991e-05,0.0
-1.395899999999991e-05,0.0
-1.395887499999991e-05,0.0
-1.395874999999991e-05,0.0
-1.3958624999999909e-05,0.0
-1.3958499999999909e-05,0.0
-1.3958374999999909e-05,0.0
-1.3958249999999908e-05,0.0
-1.3958124999999908e-05,0.0
-1.3957999999999908e-05,0.0
-1.3957874999999907e-05,0.0
-1.3957749999999907e-05,0.0
-1.3957624999999907e-05,0.0
-1.3957499999999907e-05,0.0
-1.3957374999999906e-05,0.0
-1.3957249999999906e-05,0.0
-1.3957124999999906e-05,0.0
-1.3956999999999906e-05,0.0
-1.3956874999999905e-05,0.0
-1.3956749999999905e-05,0.0
-1.3956624999999905e-05,0.0
-1.3956499999999904e-05,0.0
-1.3956374999999904e-05,0.0
-1.3956249999999904e-05,0.0
-1.3956124999999904e-05,0.0
-1.3955999999999903e-05,0.0
-1.3955874999999903e-05,0.0
-1.3955749999999903e-05,0.0
-1.3955624999999902e-05,0.0
-1.3955499999999902e-05,0.0
-1.3955374999999902e-05,0.0
-1.3955249999999902e-05,0.0
-1.3955124999999901e-05,0.0
-1.3954999999999901e-05,0.0
-1.39548749999999e-05,0.0
-1.39547499999999e-05,0.0
-1.39546249999999e-05,0.0
-1.39544999999999e-05,0.0
-1.39543749999999e-05,0.0
-1.39542499999999e-05,0.0
-1.39541249999999e-05,0.0
-1.3953999999999899e-05,0.0
-1.3953874999999899e-05,0.0
-1.3953749999999898e-05,0.0
-1.3953624999999898e-05,0.0
-1.3953499999999898e-05,0.0
-1.3953374999999898e-05,0.0
-1.3953249999999897e-05,0.0
-1.3953124999999897e-05,0.0
-1.3952999999999897e-05,0.0
-1.3952874999999896e-05,0.0
-1.3952749999999896e-05,0.0
-1.3952624999999896e-05,0.0
-1.3952499999999896e-05,0.0
-1.3952374999999895e-05,0.0
-1.3952249999999895e-05,0.0
-1.3952124999999895e-05,0.0
-1.3951999999999895e-05,0.0
-1.3951874999999894e-05,0.0
-1.3951749999999894e-05,0.0
-1.3951624999999894e-05,0.0
-1.3951499999999893e-05,0.0
-1.3951374999999893e-05,0.0
-1.3951249999999893e-05,0.0
-1.3951124999999893e-05,0.0
-1.3950999999999892e-05,0.0
-1.3950874999999892e-05,0.0
-1.3950749999999892e-05,0.0
-1.3950624999999892e-05,0.0
-1.3950499999999891e-05,0.0
-1.3950374999999891e-05,0.0
-1.395024999999989e-05,0.0
-1.395012499999989e-05,0.0
-1.394999999999989e-05,0.0
-1.394987499999989e-05,0.0
-1.394974999999989e-05,0.0
-1.394962499999989e-05,0.0
-1.3949499999999889e-05,0.0
-1.3949374999999889e-05,0.0
-1.3949249999999889e-05,0.0
-1.3949124999999888e-05,0.0
-1.3948999999999888e-05,0.0
-1.3948874999999888e-05,0.0
-1.3948749999999887e-05,0.0
-1.3948624999999887e-05,0.0
-1.3948499999999887e-05,0.0
-1.3948374999999887e-05,0.0
-1.3948249999999886e-05,0.0
-1.3948124999999886e-05,0.0
-1.3947999999999886e-05,0.0
-1.3947874999999885e-05,0.0
-1.3947749999999885e-05,0.0
-1.3947624999999885e-05,0.0
-1.3947499999999885e-05,0.0
-1.3947374999999884e-05,0.0
-1.3947249999999884e-05,0.0
-1.3947124999999884e-05,0.0
-1.3946999999999884e-05,0.0
-1.3946874999999883e-05,0.0
-1.3946749999999883e-05,0.0
-1.3946624999999883e-05,0.0
-1.3946499999999882e-05,0.0
-1.3946374999999882e-05,0.0
-1.3946249999999882e-05,0.0
-1.3946124999999882e-05,0.0
-1.3945999999999881e-05,0.0
-1.3945874999999881e-05,0.0
-1.394574999999988e-05,0.0
-1.394562499999988e-05,0.0
-1.394549999999988e-05,0.0
-1.394537499999988e-05,0.0
-1.394524999999988e-05,0.0
-1.394512499999988e-05,0.0
-1.394499999999988e-05,0.0
-1.3944874999999879e-05,0.0
-1.3944749999999879e-05,0.0
-1.3944624999999878e-05,0.04338928
-1.3944499999999878e-05,0.04338928
-1.3944374999999878e-05,0.0
-1.3944249999999878e-05,0.0
-1.3944124999999877e-05,0.0
-1.3943999999999877e-05,0.0
-1.3943874999999877e-05,0.0
-1.3943749999999876e-05,0.0
-1.3943624999999876e-05,0.0
-1.3943499999999876e-05,0.0
-1.3943374999999876e-05,0.0
-1.3943249999999875e-05,0.0
-1.3943124999999875e-05,0.0
-1.3942999999999875e-05,0.0
-1.3942874999999875e-05,0.0
-1.3942749999999874e-05,0.0
-1.3942624999999874e-05,0.0
-1.3942499999999874e-05,0.0
-1.3942374999999873e-05,0.0
-1.3942249999999873e-05,0.0
-1.3942124999999873e-05,0.0
-1.3941999999999873e-05,0.0
-1.3941874999999872e-05,0.0
-1.3941749999999872e-05,0.0
-1.3941624999999872e-05,0.0
-1.3941499999999872e-05,0.0
-1.3941374999999871e-05,0.0
-1.3941249999999871e-05,0.0
-1.394112499999987e-05,0.0
-1.394099999999987e-05,0.0
-1.394087499999987e-05,0.0
-1.394074999999987e-05,0.0
-1.394062499999987e-05,0.0
-1.394049999999987e-05,0.0
-1.3940374999999869e-05,0.0
-1.3940249999999869e-05,0.0
-1.3940124999999869e-05,0.0
-1.3939999999999868e-05,0.0
-1.3939874999999868e-05,0.0
-1.3939749999999868e-05,0.0
-1.3939624999999867e-05,0.0
-1.3939499999999867e-05,0.0
-1.3939374999999867e-05,0.0
-1.3939249999999867e-05,0.0
-1.3939124999999866e-05,0.0
-1.3938999999999866e-05,0.0
-1.3938874999999866e-05,0.0
-1.3938749999999865e-05,0.0
-1.3938624999999865e-05,0.0
-1.3938499999999865e-05,0.0
-1.3938374999999865e-05,0.0
-1.3938249999999864e-05,-0.04338928
-1.3938124999999864e-05,0.0
-1.3937999999999864e-05,0.0
-1.3937874999999864e-05,0.0
-1.3937749999999863e-05,0.0
-1.3937624999999863e-05,0.0
-1.3937499999999863e-05,0.0
-1.3937374999999862e-05,0.0
-1.3937249999999862e-05,0.0
-1.3937124999999862e-05,0.0
-1.3936999999999862e-05,0.0
-1.3936874999999861e-05,0.0
-1.3936749999999861e-05,0.0
-1.393662499999986e-05,0.0
-1.393649999999986e-05,0.0
-1.393637499999986e-05,0.0
-1.393624999999986e-05,0.0
-1.393612499999986e-05,0.0
-1.393599999999986e-05,0.0
-1.393587499999986e-05,0.0
-1.3935749999999859e-05,0.0
-1.3935624999999859e-05,0.0
-1.3935499999999858e-05,0.0
-1.3935374999999858e-05,0.0
-1.3935249999999858e-05,0.0
-1.3935124999999858e-05,0.0
-1.3934999999999857e-05,0.0
-1.3934874999999857e-05,0.0
-1.3934749999999857e-05,0.0
-1.3934624999999856e-05,0.0
-1.3934499999999856e-05,0.0
-1.3934374999999856e-05,0.0
-1.3934249999999856e-05,0.0
-1.3934124999999855e-05,0.0
-1.3933999999999855e-05,0.0
-1.3933874999999855e-05,0.0
-1.3933749999999855e-05,0.0
-1.3933624999999854e-05,0.0
-1.3933499999999854e-05,0.0
-1.3933374999999854e-05,0.0
-1.3933249999999853e-05,0.0
-1.3933124999999853e-05,0.0
-1.3932999999999853e-05,0.0
-1.3932874999999853e-05,0.0
-1.3932749999999852e-05,0.04338928
-1.3932624999999852e-05,0.04338928
-1.3932499999999852e-05,0.0
-1.3932374999999852e-05,0.0
-1.3932249999999851e-05,0.0
-1.3932124999999851e-05,0.0
-1.393199999999985e-05,0.0
-1.393187499999985e-05,0.0
-1.393174999999985e-05,0.0
-1.393162499999985e-05,0.0
-1.393149999999985e-05,0.0
